Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
47,16,NA,2,2006
38,10,Very Happy,2,2006
56,14,Very Happy,2,2006
47,16,Pretty Happy,2,2006
55,18,Pretty Happy,2,2006
31,12,Pretty Happy,2,2006
46,12,NA,2,2006
36,12,Pretty Happy,2,2006
73,19,Very Happy,2,2006
50,16,NA,2,2006
46,16,NA,2,2006
32,13,Not Too Happy,2,2006
35,13,NA,2,2006
33,13,Pretty Happy,2,2006
46,17,Very Happy,2,2006
39,12,Pretty Happy,2,2006
63,20,Pretty Happy,2,2006
69,19,Very Happy,2,2006
NA,12,NA,2,2006
47,13,Pretty Happy,2,2006
47,13,Pretty Happy,2,2006
39,14,Very Happy,2,2006
39,14,NA,2,2006
25,6,NA,2,2006
45,NA,Pretty Happy,2,2006
NA,9,Pretty Happy,2,2006
33,13,NA,2,2006
53,14,Very Happy,2,2006
NA,12,Very Happy,2,2006
62,13,Very Happy,2,2006
NA,6,Pretty Happy,2,2006
38,13,Pretty Happy,2,2006
23,13,NA,2,2006
16,12,Pretty Happy,2,2006
45,12,Very Happy,2,2006
47,12,Very Happy,2,2006
48,12,NA,2,2006
36,11,Pretty Happy,2,2006
35,14,Not Too Happy,2,2006
59,16,Very Happy,2,2006
28,16,Pretty Happy,2,2006
46,16,Very Happy,2,2006
42,16,Very Happy,2,2006
46,16,NA,2,2006
24,15,Pretty Happy,2,2006
38,13,Very Happy,2,2006
32,14,Very Happy,2,2006
25,9,Pretty Happy,2,2006
54,16,Pretty Happy,2,2006
35,11,Very Happy,2,2006
33,12,NA,2,2006
32,12,Pretty Happy,2,2006
63,16,Pretty Happy,2,2006
39,12,NA,2,2006
38,17,Very Happy,2,2006
45,12,Pretty Happy,2,2006
